date,Unnamed: 0,close,high,low,open,secid
2013-11-18,0.0,21.84,23.87,21.77,23.8,RVI
2013-11-19,1.0,22.49,22.74,20.98,21.83,RVI
2013-11-20,2.0,22.77,22.98,22.28,22.48,RVI
2013-11-21,3.0,21.89,23.0,21.77,22.75,RVI
2013-11-22,4.0,21.85,22.22,21.16,21.86,RVI
2013-11-25,5.0,21.64,22.51,21.57,21.85,RVI
2013-11-26,6.0,21.87,22.39,21.11,21.58,RVI
2013-11-27,7.0,23.41,23.41,21.17,21.86,RVI
2013-11-28,8.0,23.49,24.15,22.72,23.39,RVI
2013-11-29,9.0,23.8,24.43,23.07,23.5,RVI
2013-12-02,10.0,24.59,24.9,22.73,23.83,RVI
2013-12-03,11.0,25.24,26.49,24.1,24.59,RVI
2013-12-04,12.0,25.9,26.08,24.3,25.25,RVI
2013-12-05,13.0,26.15,26.26,24.26,25.89,RVI
2013-12-06,14.0,24.36,26.16,23.93,26.07,RVI
2013-12-09,15.0,23.85,25.82,23.01,24.35,RVI
2013-12-10,16.0,24.09,24.67,22.93,23.65,RVI
2013-12-11,17.0,23.56,24.79,22.5,24.09,RVI
2013-12-12,18.0,23.45,25.95,23.1,23.61,RVI
2013-12-13,19.0,22.64,24.84,22.0,23.45,RVI
2013-12-16,20.0,22.43,24.25,22.06,22.64,RVI
2013-12-17,21.0,19.99,22.55,19.72,22.42,RVI
2013-12-18,22.0,20.8,21.07,19.87,19.99,RVI
2013-12-19,23.0,19.47,22.48,19.28,20.82,RVI
2013-12-20,24.0,18.04,19.52,17.45,19.5,RVI
2013-12-23,25.0,18.36,19.29,17.5,17.93,RVI
2013-12-24,26.0,17.75,18.89,17.33,18.36,RVI
2013-12-25,27.0,18.94,19.37,17.61,17.7,RVI
2013-12-26,28.0,19.6,20.6,18.76,18.94,RVI
2013-12-27,29.0,19.36,20.58,18.97,19.6,RVI
2013-12-30,30.0,20.48,21.31,19.22,19.36,RVI
2014-01-06,31.0,22.7,23.05,20.36,20.47,RVI
2014-01-08,32.0,19.4,22.96,18.79,22.69,RVI
2014-01-09,33.0,18.85,23.19,18.51,19.53,RVI
2014-01-10,34.0,20.56,20.58,17.18,18.83,RVI
2014-01-13,35.0,20.07,21.16,19.02,20.42,RVI
2014-01-14,36.0,21.2,21.49,18.65,20.07,RVI
2014-01-15,37.0,21.14,21.46,20.16,21.22,RVI
2014-01-16,38.0,20.36,21.42,19.67,21.2,RVI
2014-01-17,39.0,20.34,20.85,19.62,20.36,RVI
2014-01-20,40.0,20.98,21.66,19.81,20.31,RVI
2014-01-21,41.0,21.14,21.58,20.73,20.99,RVI
2014-01-22,42.0,20.49,21.28,20.2,21.14,RVI
2014-01-23,43.0,20.24,21.23,20.17,20.48,RVI
2014-01-24,44.0,22.0,22.09,20.12,20.18,RVI
2014-01-27,45.0,24.24,24.49,21.84,22.04,RVI
2014-01-28,46.0,24.33,24.71,23.48,24.26,RVI
2014-01-29,47.0,28.16,28.73,24.04,24.33,RVI
2014-01-30,48.0,25.2,29.04,25.11,28.16,RVI
2014-01-31,49.0,27.48,27.59,24.43,25.26,RVI
2014-02-03,50.0,28.55,29.08,25.79,27.47,RVI
2014-02-04,51.0,27.74,29.84,26.87,28.53,RVI
2014-02-05,52.0,25.59,28.08,25.38,27.76,RVI
2014-02-06,53.0,25.01,26.77,24.48,25.58,RVI
2014-02-07,54.0,25.03,25.4,24.46,25.02,RVI
2014-02-10,55.0,25.47,26.09,24.46,25.04,RVI
2014-02-11,56.0,25.2,25.8,24.37,25.43,RVI
2014-02-12,57.0,25.03,25.92,24.49,25.22,RVI
2014-02-13,58.0,25.23,25.53,24.6,25.03,RVI
2014-02-14,59.0,26.01,26.42,24.63,25.21,RVI
2014-02-17,60.0,26.8,26.86,25.5,25.99,RVI
2014-02-18,61.0,26.29,27.07,26.18,26.77,RVI
2014-02-19,62.0,26.12,26.35,25.36,26.29,RVI
2014-02-20,63.0,27.41,27.69,26.12,26.12,RVI
2014-02-21,64.0,25.97,27.49,25.75,27.42,RVI
2014-02-24,65.0,25.64,26.62,25.22,25.95,RVI
2014-02-25,66.0,26.54,27.1,25.03,25.63,RVI
2014-02-26,67.0,25.84,26.8,25.41,26.55,RVI
2014-02-27,68.0,27.69,28.05,25.05,25.81,RVI
2014-02-28,69.0,28.38,29.35,26.82,27.7,RVI
2014-03-03,70.0,57.18,60.67,27.88,28.35,RVI
2014-03-04,71.0,51.05,63.36,50.45,57.24,RVI
2014-03-05,72.0,43.63,51.1,43.63,51.04,RVI
2014-03-06,73.0,49.26,52.56,42.36,43.64,RVI
2014-03-07,74.0,49.77,51.74,48.99,49.26,RVI
2014-03-11,75.0,51.25,56.28,44.29,49.79,RVI
2014-03-12,76.0,47.16,55.86,42.7,53.59,RVI
2014-03-13,77.0,54.32,54.32,45.02,48.47,RVI
2014-03-14,78.0,60.59,70.63,54.55,55.4,RVI
2014-03-17,79.0,57.7,69.37,57.43,59.88,RVI
2014-03-18,80.0,49.46,58.87,48.96,58.33,RVI
2014-03-19,81.0,48.28,50.14,45.87,49.19,RVI
2014-03-20,82.0,51.06,53.3,47.9,49.83,RVI
2014-03-21,83.0,50.63,60.36,50.41,50.57,RVI
2014-03-24,84.0,52.73,52.87,48.26,50.22,RVI
2014-03-25,85.0,49.29,53.42,48.48,52.59,RVI
2014-03-26,86.0,43.04,48.73,42.1,48.51,RVI
2014-03-27,87.0,41.2,42.51,39.85,40.32,RVI
2014-03-28,88.0,39.23,41.14,38.18,40.14,RVI
2014-03-31,89.0,38.84,41.48,37.53,39.71,RVI
2014-04-01,90.0,37.52,40.72,36.87,38.97,RVI
2014-04-02,91.0,39.47,39.94,37.87,38.71,RVI
2014-04-03,92.0,37.5,39.66,37.42,39.2,RVI
2014-04-04,93.0,35.02,37.72,33.72,36.68,RVI
2014-04-07,94.0,41.04,41.91,33.48,33.93,RVI
2014-04-08,95.0,37.79,41.07,37.29,40.6,RVI
2014-04-09,96.0,39.96,41.12,36.94,36.95,RVI
2014-04-10,97.0,36.69,41.25,36.63,39.92,RVI
2014-04-11,98.0,38.13,39.99,36.5,37.03,RVI
2014-04-14,99.0,41.99,43.56,36.49,37.6,RVI
2014-04-15,100.0,45.09,45.48,40.97,41.64,RVI
2014-04-16,101.0,40.98,46.44,40.15,45.29,RVI
2014-04-17,102.0,37.42,41.66,37.13,40.99,RVI
2014-04-18,103.0,34.41,37.67,32.88,37.01,RVI
2014-04-21,104.0,37.51,37.6,34.14,34.52,RVI
2014-04-22,105.0,37.31,39.34,36.71,37.39,RVI
2014-04-23,106.0,38.46,38.6,37.26,37.54,RVI
2014-04-24,107.0,44.69,44.85,37.51,37.78,RVI
2014-04-25,108.0,45.68,48.55,43.82,44.99,RVI
2014-04-28,109.0,42.68,49.11,42.5,45.81,RVI
2014-04-29,110.0,40.83,43.44,38.82,42.99,RVI
2014-04-30,111.0,41.35,43.87,37.97,41.04,RVI
2014-05-02,112.0,42.35,43.72,40.79,41.1,RVI
2014-05-05,113.0,43.25,43.91,42.26,42.42,RVI
2014-05-06,114.0,39.5,43.78,39.27,43.26,RVI
2014-05-07,115.0,35.36,40.24,33.84,39.61,RVI
2014-05-08,116.0,35.8,42.39,34.1,35.26,RVI
2014-05-12,117.0,35.33,38.57,33.49,36.37,RVI
2014-05-13,118.0,31.71,36.19,31.11,35.69,RVI
2014-05-14,119.0,30.5,32.39,30.25,32.19,RVI
2014-05-15,120.0,29.04,31.12,28.26,30.77,RVI
2014-05-16,121.0,29.23,30.33,28.02,28.4,RVI
2014-05-19,122.0,28.94,31.79,28.24,29.0,RVI
2014-05-20,123.0,28.33,30.42,27.85,28.71,RVI
2014-05-21,124.0,29.55,29.65,28.44,28.52,RVI
2014-05-22,125.0,28.77,30.0,28.61,29.22,RVI
2014-05-23,126.0,28.35,29.64,27.98,28.62,RVI
2014-05-26,127.0,27.87,29.95,27.16,28.49,RVI
2014-05-27,128.0,28.98,29.78,27.7,27.95,RVI
2014-05-28,129.0,28.56,29.84,28.21,28.9,RVI
2014-05-29,130.0,28.51,29.16,27.59,28.36,RVI
2014-05-30,131.0,27.81,28.82,27.52,28.39,RVI
2014-06-02,132.0,26.97,30.53,26.18,28.1,RVI
2014-06-03,133.0,26.96,28.71,26.68,26.84,RVI
2014-06-04,134.0,26.78,28.48,26.5,26.94,RVI
2014-06-05,135.0,26.86,27.22,25.85,26.56,RVI
2014-06-06,136.0,28.16,28.23,26.47,26.78,RVI
2014-06-09,137.0,26.82,29.3,24.62,26.67,RVI
2014-06-10,138.0,27.49,30.38,27.05,28.95,RVI
2014-06-11,139.0,27.15,28.05,26.47,27.38,RVI
2014-06-13,140.0,28.27,29.95,26.7,27.02,RVI
2014-06-16,141.0,29.53,30.65,28.07,28.08,RVI
2014-06-17,142.0,27.55,29.78,27.11,29.66,RVI
2014-06-18,143.0,27.3,28.3,26.7,27.03,RVI
2014-06-19,144.0,26.26,28.34,25.55,27.86,RVI
2014-06-20,145.0,27.75,28.48,26.94,26.98,RVI
2014-06-23,146.0,26.97,28.49,26.4,27.61,RVI
2014-06-24,147.0,25.97,27.65,25.77,26.62,RVI
2014-06-25,148.0,29.05,29.14,25.37,25.72,RVI
2014-06-26,149.0,28.73,29.53,26.94,27.55,RVI
2014-06-27,150.0,28.8,29.6,27.86,29.07,RVI
2014-06-30,151.0,30.31,30.64,27.78,28.12,RVI
2014-07-01,152.0,29.19,31.95,29.19,31.1,RVI
2014-07-02,153.0,29.23,29.68,27.14,28.89,RVI
2014-07-03,154.0,27.29,29.95,27.01,28.37,RVI
2014-07-04,155.0,30.46,30.46,27.17,28.37,RVI
2014-07-07,156.0,28.97,30.42,26.89,28.59,RVI
2014-07-08,157.0,29.25,30.11,25.65,29.12,RVI
2014-07-09,158.0,28.17,30.34,26.95,28.49,RVI
2014-07-10,159.0,28.86,31.3,27.66,28.44,RVI
2014-07-11,160.0,29.47,31.31,28.03,28.18,RVI
2014-07-14,161.0,29.7,31.05,28.29,29.18,RVI
2014-07-15,162.0,28.89,30.69,28.22,29.48,RVI
2014-07-16,163.0,28.2,29.66,27.61,29.0,RVI
2014-07-17,164.0,29.96,31.22,27.68,27.95,RVI
2014-07-18,165.0,32.06,35.19,29.27,29.99,RVI
2014-07-21,166.0,35.01,35.18,31.74,31.91,RVI
2014-07-22,167.0,33.52,35.98,32.58,35.45,RVI
2014-07-23,168.0,33.7,34.86,31.56,33.55,RVI
2014-07-24,169.0,34.98,35.84,33.65,33.74,RVI
2014-07-25,170.0,35.11,35.68,31.87,35.04,RVI
2014-07-28,171.0,37.81,38.31,35.42,37.11,RVI
2014-07-29,172.0,37.31,38.28,36.44,38.14,RVI
2014-07-30,173.0,35.77,38.53,34.1,37.39,RVI
2014-07-31,174.0,35.83,36.15,33.97,35.92,RVI
2014-08-01,175.0,36.43,37.77,35.96,36.57,RVI
2014-08-04,176.0,36.61,36.86,34.72,36.45,RVI
2014-08-05,177.0,36.62,37.12,35.37,36.48,RVI
2014-08-06,178.0,38.24,39.21,36.2,36.48,RVI
2014-08-07,179.0,38.87,39.37,37.85,38.14,RVI
2014-08-08,180.0,38.44,41.62,37.12,40.95,RVI
2014-08-11,181.0,36.64,39.4,35.26,39.09,RVI
2014-08-12,182.0,36.75,38.2,36.64,37.27,RVI
2014-08-13,183.0,34.93,37.65,34.1,36.52,RVI
2014-08-14,184.0,32.51,35.35,32.37,34.88,RVI
2014-08-15,185.0,31.62,33.66,31.16,32.35,RVI
2014-08-18,186.0,32.06,34.74,30.69,30.75,RVI
2014-08-19,187.0,32.08,32.79,31.43,31.87,RVI
2014-08-20,188.0,32.74,33.19,31.84,32.17,RVI
2014-08-21,189.0,30.77,32.95,30.46,32.58,RVI
2014-08-22,190.0,32.19,32.69,29.98,30.68,RVI
2014-08-25,191.0,31.89,33.0,31.71,32.53,RVI
2014-08-26,192.0,32.38,32.74,31.45,31.57,RVI
2014-08-27,193.0,31.82,32.44,31.1,32.27,RVI
2014-08-28,194.0,33.83,34.6,31.67,31.85,RVI
2014-08-29,195.0,35.02,35.18,33.16,33.65,RVI
2014-09-01,196.0,36.05,36.87,34.68,34.71,RVI
2014-09-02,197.0,36.21,36.89,35.87,36.02,RVI
2014-09-03,198.0,32.13,36.24,31.88,35.88,RVI
2014-09-04,199.0,32.52,33.44,31.64,31.97,RVI
2014-09-05,200.0,32.4,33.39,30.75,32.5,RVI
2014-09-08,201.0,31.5,34.7,30.92,32.43,RVI
2014-09-09,202.0,30.63,33.46,29.73,32.08,RVI
2014-09-10,203.0,32.24,32.62,30.84,31.07,RVI
2014-09-11,204.0,32.26,33.75,31.58,32.37,RVI
2014-09-12,205.0,34.03,35.63,32.06,34.86,RVI
2014-09-15,206.0,30.71,34.87,30.2,33.95,RVI
2014-09-16,207.0,30.22,31.0,29.34,30.91,RVI
2014-09-17,208.0,30.76,31.58,28.51,30.51,RVI
2014-09-18,209.0,31.63,32.16,30.68,31.1,RVI
2014-09-19,210.0,31.91,33.51,29.51,31.63,RVI
2014-09-22,211.0,32.54,33.72,31.82,31.98,RVI
2014-09-23,212.0,31.34,32.61,31.28,31.74,RVI
2014-09-24,213.0,28.85,32.33,28.25,30.65,RVI
2014-09-25,214.0,30.29,30.46,28.34,28.8,RVI
2014-09-26,215.0,31.0,31.81,29.72,30.39,RVI
2014-09-29,216.0,31.64,36.07,29.43,31.07,RVI
2014-09-30,217.0,31.4,32.27,29.76,30.98,RVI
2014-10-01,218.0,32.62,33.14,30.72,30.98,RVI
2014-10-02,219.0,31.84,34.71,31.55,32.0,RVI
2014-10-03,220.0,31.74,33.47,30.68,31.95,RVI
2014-10-06,221.0,31.67,34.96,30.89,31.3,RVI
2014-10-07,222.0,32.03,32.79,31.13,32.02,RVI
2014-10-08,223.0,31.88,33.41,30.43,31.87,RVI
2014-10-09,224.0,30.64,33.06,29.51,32.07,RVI
2014-10-10,225.0,33.63,37.09,29.89,30.01,RVI
2014-10-13,226.0,31.57,35.16,30.47,33.38,RVI
2014-10-14,227.0,32.91,33.32,30.31,31.36,RVI
2014-10-15,228.0,33.17,34.85,31.29,32.34,RVI
2014-10-16,229.0,33.87,35.12,31.17,33.35,RVI
2014-10-17,230.0,33.04,35.4,32.84,34.07,RVI
2014-10-20,231.0,34.42,35.16,31.17,33.33,RVI
2014-10-21,232.0,33.25,35.28,33.04,34.71,RVI
2014-10-22,233.0,33.75,34.56,32.49,33.14,RVI
2014-10-23,234.0,33.71,35.32,33.09,33.71,RVI
2014-10-24,235.0,34.59,34.76,33.56,34.12,RVI
2014-10-27,236.0,34.15,35.15,33.41,34.51,RVI
2014-10-28,237.0,35.85,36.07,34.13,34.24,RVI
2014-10-29,238.0,35.43,36.22,35.08,35.85,RVI
2014-10-30,239.0,32.61,36.09,31.51,35.61,RVI
2014-10-31,240.0,31.91,34.89,31.82,33.66,RVI
2014-11-03,241.0,32.71,33.48,31.52,31.83,RVI
2014-11-05,242.0,35.71,36.01,32.85,33.04,RVI
2014-11-06,243.0,40.91,41.41,35.25,35.89,RVI
2014-11-07,244.0,40.7,42.52,37.92,41.1,RVI
2014-11-10,245.0,37.99,39.78,35.31,37.4,RVI
2014-11-11,246.0,39.55,42.44,39.25,41.38,RVI
2014-11-12,247.0,38.13,40.25,37.75,38.77,RVI
2014-11-13,248.0,40.89,41.69,37.16,38.6,RVI
2014-11-14,249.0,38.03,42.15,37.5,41.05,RVI
2014-11-17,250.0,38.56,40.68,37.21,38.3,RVI
2014-11-18,251.0,36.75,38.83,35.46,38.82,RVI
2014-11-19,252.0,36.87,37.95,36.12,36.74,RVI
2014-11-20,253.0,35.35,37.02,35.15,36.94,RVI
2014-11-21,254.0,34.24,35.89,33.74,35.5,RVI
2014-11-24,255.0,32.72,34.48,31.43,33.89,RVI
2014-11-25,256.0,34.32,34.68,31.93,31.93,RVI
2014-11-26,257.0,35.44,36.06,33.79,33.97,RVI
2014-11-27,258.0,37.47,38.26,34.93,35.61,RVI
2014-11-28,259.0,37.62,39.3,35.82,37.43,RVI
2014-12-01,260.0,43.0,43.68,37.11,37.72,RVI
2014-12-02,261.0,43.1,44.14,41.0,43.64,RVI
2014-12-03,262.0,42.21,44.9,40.55,43.85,RVI
2014-12-04,263.0,42.35,44.12,39.76,41.83,RVI
2014-12-05,264.0,43.49,45.52,41.09,42.28,RVI
2014-12-08,265.0,44.19,45.92,36.45,37.68,RVI
2014-12-09,266.0,55.49,60.56,45.87,46.55,RVI
2014-12-10,267.0,49.23,53.79,45.25,52.33,RVI
2014-12-11,268.0,49.86,54.15,48.23,50.68,RVI
2014-12-12,269.0,56.5,57.11,49.42,49.61,RVI
2014-12-15,270.0,74.54,75.16,55.84,55.92,RVI
2014-12-16,271.0,112.08,121.41,68.95,72.57,RVI
2014-12-17,272.0,96.77,115.14,84.25,107.11,RVI
2014-12-18,273.0,82.97,97.59,80.55,96.21,RVI
2014-12-19,274.0,74.73,90.28,74.31,83.62,RVI
2014-12-22,275.0,60.99,73.69,57.08,73.45,RVI
2014-12-23,276.0,59.83,66.02,57.64,57.99,RVI
2014-12-24,277.0,64.73,65.03,61.74,61.74,RVI
2014-12-25,278.0,58.99,62.9,56.16,62.75,RVI
2014-12-26,279.0,57.32,59.12,54.97,56.16,RVI
2014-12-29,280.0,62.61,64.88,58.18,58.69,RVI
2014-12-30,281.0,66.2,69.94,61.0,61.06,RVI
2015-01-05,282.0,74.3,78.67,64.92,67.19,RVI
2015-01-06,283.0,72.64,77.12,71.93,72.58,RVI
2015-01-08,284.0,68.13,76.22,62.72,67.01,RVI
2015-01-09,285.0,67.23,73.26,61.37,64.18,RVI
2015-01-12,286.0,67.29,73.69,65.69,68.01,RVI
2015-01-13,287.0,69.93,71.15,64.26,66.44,RVI
2015-01-14,288.0,69.56,74.83,68.72,70.01,RVI
2015-01-15,289.0,65.47,72.2,65.29,69.75,RVI
2015-01-16,290.0,59.79,66.1,59.65,65.67,RVI
2015-01-19,291.0,59.92,63.55,57.72,60.38,RVI
2015-01-20,292.0,59.71,61.41,58.77,61.11,RVI
2015-01-21,293.0,56.09,60.65,55.39,60.41,RVI
2015-01-22,294.0,53.63,58.01,53.48,56.4,RVI
2015-01-23,295.0,53.77,55.22,49.49,54.57,RVI
2015-01-26,296.0,61.96,62.26,52.87,53.43,RVI
2015-01-27,297.0,59.74,68.69,59.67,61.58,RVI
2015-01-28,298.0,61.65,62.54,58.11,59.92,RVI
2015-01-29,299.0,60.37,63.23,60.34,62.0,RVI
2015-01-30,300.0,63.37,64.56,60.32,61.23,RVI
2015-02-02,301.0,62.28,66.1,61.93,64.14,RVI
2015-02-03,302.0,56.69,64.65,56.32,62.31,RVI
2015-02-04,303.0,59.47,59.73,55.46,57.84,RVI
2015-02-05,304.0,58.11,62.17,55.24,58.41,RVI
2015-02-06,305.0,56.19,59.97,54.54,58.07,RVI
2015-02-09,306.0,54.36,60.15,45.32,52.08,RVI
2015-02-10,307.0,58.01,60.69,53.25,53.35,RVI
2015-02-11,308.0,60.02,60.65,54.38,55.99,RVI
2015-02-12,309.0,60.38,66.94,54.54,64.21,RVI
2015-02-13,310.0,55.58,60.31,54.79,60.29,RVI
2015-02-16,311.0,55.93,58.08,55.11,55.48,RVI
2015-02-17,312.0,54.16,56.24,52.82,55.74,RVI
2015-02-18,313.0,53.16,56.07,52.9,55.56,RVI
2015-02-19,314.0,54.59,54.91,52.46,52.6,RVI
2015-02-20,315.0,51.33,53.12,51.17,52.28,RVI
2015-02-24,316.0,53.36,54.37,49.86,51.46,RVI
2015-02-25,317.0,52.27,53.87,52.17,53.14,RVI
2015-02-26,318.0,50.96,51.52,49.73,51.08,RVI
2015-02-27,319.0,49.6,51.5,48.94,51.38,RVI
2015-03-02,320.0,51.39,53.48,50.31,50.32,RVI
2015-03-03,321.0,51.26,53.13,51.17,51.25,RVI
2015-03-04,322.0,50.09,52.31,48.02,51.38,RVI
2015-03-05,323.0,47.65,51.41,47.25,48.96,RVI
2015-03-06,324.0,44.46,49.4,44.45,47.98,RVI
2015-03-10,325.0,44.42,47.58,40.09,40.13,RVI
2015-03-11,326.0,50.37,53.25,45.82,45.94,RVI
2015-03-12,327.0,50.2,54.26,49.52,51.16,RVI
2015-03-13,328.0,51.09,53.47,48.52,49.4,RVI
2015-03-16,329.0,51.15,56.69,50.05,50.91,RVI
2015-03-17,330.0,44.96,51.29,43.41,51.02,RVI
2015-03-18,331.0,42.96,47.14,42.6,44.79,RVI
2015-03-19,332.0,42.05,46.1,41.94,42.92,RVI
2015-03-20,333.0,42.8,43.21,41.18,42.24,RVI
2015-03-23,334.0,44.83,46.18,42.48,42.9,RVI
2015-03-24,335.0,44.03,45.57,42.65,44.45,RVI
2015-03-25,336.0,42.64,42.81,40.1,41.95,RVI
2015-03-26,337.0,43.08,43.48,39.6,41.65,RVI
2015-03-27,338.0,43.25,43.99,42.08,42.96,RVI
2015-03-30,339.0,43.98,45.7,43.04,43.68,RVI
2015-03-31,340.0,43.49,44.13,42.21,43.11,RVI
2015-04-01,341.0,41.2,42.78,38.79,41.97,RVI
2015-04-02,342.0,39.44,42.91,39.31,41.54,RVI
2015-04-03,343.0,41.54,41.91,38.5,39.48,RVI
2015-04-06,344.0,40.36,45.62,37.89,38.61,RVI
2015-04-07,345.0,40.67,41.92,38.67,39.9,RVI
2015-04-08,346.0,36.73,41.53,36.05,41.4,RVI
2015-04-09,347.0,39.16,39.99,35.8,35.83,RVI
2015-04-10,348.0,38.43,41.22,34.65,39.39,RVI
